Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,1,0,22443741,22443741,0,0,0,0,22443741,1
2,1,1,0,22482301,22482301,0,0,0,0,22482301,1
3,1,1,0,22474964,22474964,0,0,0,0,22474964,1
4,1,1,0,22457161,22457161,0,0,0,0,22457161,1
5,1,1,0,22465144,22465144,0,0,0,0,22465144,1
6,1,1,0,22443115,22443115,0,0,0,0,22443115,1
7,1,1,0,22468329,22468329,0,0,0,0,22468329,1
8,1,1,0,22462160,22462160,0,0,0,0,22462160,1
9,1,1,0,22453554,22453554,0,0,0,0,22453554,1
10,1,1,0,22463971,22463971,0,0,0,0,22463971,1
