Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,0,2805,0,0,0,0,0,0,0
1,64,1,1,837,0,0,0,0,0,0,0
1,64,1,2,176,0,0,0,0,0,0,0
1,64,1,3,23304,0,0,0,0,0,0,0
1,64,1,4,22286,0,0,0,0,0,0,0
1,64,1,5,7126,0,0,0,0,0,0,0
1,64,1,6,179,0,0,0,0,0,0,0
1,64,1,7,133,0,0,0,0,0,0,0
1,64,1,8,1415,0,0,0,0,0,0,0
1,64,1,9,279,0,0,0,0,0,0,0
1,64,1,10,216,0,0,0,0,0,0,0
1,64,1,11,253,0,0,0,0,0,0,0
1,64,1,12,1956,0,0,0,0,0,0,0
1,64,1,13,2144,0,0,0,0,0,0,0
1,64,1,14,690,0,0,0,0,0,0,0
1,64,1,15,61241,0,0,0,0,0,0,0
1,64,1,16,556,0,0,0,0,0,0,0
1,64,1,17,2480,0,0,0,0,0,0,0
1,64,1,18,1896,0,0,0,0,0,0,0
1,64,1,19,3031,0,0,0,0,0,0,0
1,64,1,20,185,0,0,0,0,0,0,0
1,64,1,21,258,0,0,0,0,0,0,0
1,64,1,22,553,0,0,0,0,0,0,0
1,64,1,23,33032,0,0,0,0,0,0,0
1,64,1,24,462,0,0,0,0,0,0,0
1,64,1,25,1025,0,0,0,0,0,0,0
1,64,1,26,139,0,0,0,0,0,0,0
1,64,1,27,2543,0,0,0,0,0,0,0
1,64,1,28,3124,0,0,0,0,0,0,0
1,64,1,29,3557,0,0,0,0,0,0,0
1,64,1,30,1205,0,0,0,0,0,0,0
1,64,1,31,146,0,0,0,0,0,0,0
1,64,1,32,0,1349,0,382,0,0,1349,1349
1,64,1,33,0,704,0,271,0,0,704,704
1,64,1,34,0,130,0,14,0,0,130,130
1,64,1,35,0,89,0,117,0,0,89,89
1,64,1,36,0,119,0,37,0,0,119,119
1,64,1,37,0,189,0,56,0,0,189,189
1,64,1,38,0,18743,0,21306,0,0,18743,18743
1,64,1,39,0,151,0,162,0,0,151,151
1,64,1,40,0,137,0,123,0,0,137,137
1,64,1,41,0,872,0,145,0,0,872,872
1,64,1,42,0,22007,0,28558,0,0,22007,22007
1,64,1,43,0,181,0,147,0,0,181,181
1,64,1,44,0,2595,0,523,0,0,2595,2595
1,64,1,45,0,1054,0,351,0,0,1054,1054
1,64,1,46,0,2447,0,2271,0,0,2447,2447
1,64,1,47,0,3137,0,194,0,0,3137,3137
1,64,1,48,0,25183,0,29802,0,0,25183,25183
1,64,1,49,0,710,0,108,0,0,710,710
1,64,1,50,0,7093,0,7218,0,0,7093,7093
1,64,1,51,0,420,0,829,0,0,420,420
1,64,1,52,0,178,0,29,0,0,178,178
1,64,1,53,0,120,0,188,0,0,120,120
1,64,1,54,0,33386,0,23194,0,0,33386,33386
1,64,1,55,0,415,0,263,0,0,415,415
1,64,1,56,0,23235,0,29153,0,0,23235,23235
1,64,1,57,0,3315,0,2659,0,0,3315,3315
1,64,1,58,0,11244,0,12519,0,0,11244,11244
1,64,1,59,0,17393,0,23879,0,0,17393,17393
1,64,1,60,0,758,0,1899,0,0,758,758
1,64,1,61,0,481,0,563,0,0,481,481
1,64,1,62,0,1116,0,397,0,0,1116,1116
1,64,1,63,0,281,0,348,0,0,281,281
2,64,1,0,2146,0,0,0,0,0,0,0
2,64,1,1,517,0,0,0,0,0,0,0
2,64,1,2,119,0,0,0,0,0,0,0
2,64,1,3,3810,0,0,0,0,0,0,0
2,64,1,4,247,0,0,0,0,0,0,0
2,64,1,5,2967,0,0,0,0,0,0,0
2,64,1,6,256,0,0,0,0,0,0,0
2,64,1,7,158,0,0,0,0,0,0,0
2,64,1,8,97,0,0,0,0,0,0,0
2,64,1,9,90,0,0,0,0,0,0,0
2,64,1,10,158,0,0,0,0,0,0,0
2,64,1,11,227,0,0,0,0,0,0,0
2,64,1,12,2724,0,0,0,0,0,0,0
2,64,1,13,3407,0,0,0,0,0,0,0
2,64,1,14,119,0,0,0,0,0,0,0
2,64,1,15,70884,0,0,0,0,0,0,0
2,64,1,16,190,0,0,0,0,0,0,0
2,64,1,17,3480,0,0,0,0,0,0,0
2,64,1,18,3182,0,0,0,0,0,0,0
2,64,1,19,3197,0,0,0,0,0,0,0
2,64,1,20,286,0,0,0,0,0,0,0
2,64,1,21,84,0,0,0,0,0,0,0
2,64,1,22,112,0,0,0,0,0,0,0
2,64,1,23,57702,0,0,0,0,0,0,0
2,64,1,24,215,0,0,0,0,0,0,0
2,64,1,25,247,0,0,0,0,0,0,0
2,64,1,26,81,0,0,0,0,0,0,0
2,64,1,27,3395,0,0,0,0,0,0,0
2,64,1,28,3752,0,0,0,0,0,0,0
2,64,1,29,4358,0,0,0,0,0,0,0
2,64,1,30,121,0,0,0,0,0,0,0
2,64,1,31,148,0,0,0,0,0,0,0
2,64,1,32,0,2763,0,75,0,0,2763,2763
2,64,1,33,0,2036,0,68471,0,0,2036,2036
2,64,1,34,0,48,0,81,0,0,48,48
2,64,1,35,0,78,0,78,0,0,78,78
2,64,1,36,0,78,0,1,0,0,78,78
2,64,1,37,0,150,0,21,0,0,150,150
2,64,1,38,0,26055,0,32837,0,0,26055,26055
2,64,1,39,0,65,0,3,0,0,65,65
2,64,1,40,0,63,0,101,0,0,63,63
2,64,1,41,0,76,0,14,0,0,76,76
2,64,1,42,0,22291,0,33211,0,0,22291,22291
2,64,1,43,0,46,0,68,0,0,46,46
2,64,1,44,0,48,0,11,0,0,48,48
