Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,45,1,0,6044,6044,0,0,22846,12281,6044,1
1,45,1,1,5937,5937,0,0,22630,12452,5937,1
1,45,1,2,5761,5761,0,0,22519,10439,5761,1
1,45,1,3,5012,5012,0,0,14230,8577,5012,1
1,45,1,4,5341,5341,0,0,20843,9402,5341,1
1,45,1,5,5836,5836,0,0,22289,11303,5836,1
1,45,1,6,5010,5010,0,0,14841,8342,5010,1
1,45,1,7,6051,6051,0,0,20391,12214,6051,1
1,45,1,8,5940,5940,0,0,23204,11228,5940,1
1,45,1,9,5735,5735,0,0,22270,10449,5735,1
1,45,1,10,5002,5002,0,0,15677,8561,5002,1
1,45,1,11,5001,5001,0,0,17099,9477,5001,1
1,45,1,12,4978,4978,0,0,13773,8069,4978,1
1,45,1,13,5835,5835,0,0,22981,10952,5835,1
1,45,1,14,5074,5074,0,0,15224,8516,5074,1
1,45,1,15,5921,5921,0,0,22313,10264,5921,1
1,45,1,16,5758,5758,0,0,22337,10367,5758,1
1,45,1,17,5027,5027,0,0,16465,9011,5027,1
1,45,1,18,5002,5002,0,0,14228,8245,5002,1
1,45,1,19,5548,5548,0,0,21859,10395,5548,1
1,45,1,20,6100,6100,0,0,22727,11732,6100,1
1,45,1,21,4833,4833,0,0,14210,8097,4833,1
1,45,1,22,4974,4974,0,0,14758,8002,4974,1
1,45,1,23,4897,4897,0,0,14299,8268,4897,1
1,45,1,24,5840,5840,0,0,22894,11119,5840,1
1,45,1,25,5565,5565,0,0,21206,10762,5565,1
1,45,1,26,5007,5007,0,0,14412,8448,5007,1
1,45,1,27,5470,5470,0,0,18558,9497,5470,1
1,45,1,28,5213,5213,0,0,16826,9923,5213,1
1,45,1,29,4545,4545,0,0,13797,7893,4545,1
1,45,1,30,5068,5068,0,0,15218,9575,5068,1
1,45,1,31,5895,5895,0,0,23519,11151,5895,1
1,45,1,32,5899,5899,0,0,22533,10354,5899,1
1,45,1,33,6034,6034,0,0,19690,12418,6034,1
1,45,1,34,5923,5923,0,0,22458,10215,5923,1
1,45,1,35,4916,4916,0,0,15057,8327,4916,1
1,45,1,36,4946,4946,0,0,13652,8171,4946,1
1,45,1,37,5649,5649,0,0,21030,11013,5649,1
1,45,1,38,15238,15238,0,0,20436,10935,15238,1
1,45,1,39,5782,5782,0,0,22483,10437,5782,1
1,45,1,40,5089,5089,0,0,15191,8506,5089,1
1,45,1,41,4866,4866,0,0,14545,8104,4866,1
1,45,1,42,6053,6053,0,0,19527,12188,6053,1
1,45,1,43,5925,5925,0,0,21649,10003,5925,1
1,45,1,44,5730,5730,0,0,21559,9661,5730,1
2,45,1,0,6510,6510,0,0,26841,15270,6510,1
2,45,1,1,6502,6502,0,0,26768,15739,6502,1
