Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,0,2589110,0,0,0,2,0,0,0
1,64,1,1,0,20190,0,0,0,18016,20190,20190
1,64,1,2,0,26964,0,0,0,23834,26964,26964
1,64,1,3,0,20497,0,0,0,18810,20497,20497
1,64,1,4,0,27659,0,0,0,24630,27659,27659
1,64,1,5,0,25018,0,0,0,21322,25018,25018
1,64,1,6,0,18430,0,0,0,14953,18430,18430
1,64,1,7,0,18590,0,0,0,16720,18590,18590
1,64,1,8,0,28514,0,0,0,26998,28514,28514
1,64,1,9,0,21617,0,0,0,19566,21617,21617
1,64,1,10,0,25638,0,0,0,25694,25638,25638
1,64,1,11,0,28348,0,0,0,27652,28348,28348
1,64,1,12,0,25427,0,0,0,23528,25427,25427
1,64,1,13,0,21444,0,0,0,18812,21444,21444
1,64,1,14,0,22940,0,0,0,23596,22940,22940
1,64,1,15,0,23211,0,0,0,20244,23211,23211
1,64,1,16,0,29400,0,0,0,26896,29400,29400
1,64,1,17,0,28048,0,0,0,23053,28048,28048
1,64,1,18,0,28209,0,0,0,25348,28209,28209
1,64,1,19,0,25399,0,0,0,22589,25399,25399
1,64,1,20,0,27811,0,0,0,24687,27811,27811
1,64,1,21,0,24578,0,0,0,22015,24578,24578
1,64,1,22,0,25368,0,0,0,23409,25368,25368
1,64,1,23,0,28678,0,0,0,28425,28678,28678
1,64,1,24,0,28337,0,0,0,26426,28337,28337
1,64,1,25,0,28520,0,0,0,28882,28520,28520
1,64,1,26,0,28524,0,0,0,30069,28524,28524
1,64,1,27,0,28425,0,0,0,29480,28425,28425
1,64,1,28,0,21816,0,0,0,20687,21816,21816
1,64,1,29,0,18410,0,0,0,16958,18410,18410
1,64,1,30,0,28992,0,0,0,29374,28992,28992
1,64,1,31,0,27536,0,0,0,26735,27536,27536
1,64,1,32,0,24116,0,0,0,23017,24116,24116
1,64,1,33,0,25474,0,0,0,24812,25474,25474
1,64,1,34,0,25777,0,0,0,25496,25777,25777
1,64,1,35,0,16968,0,0,0,15646,16968,16968
1,64,1,36,0,26476,0,0,0,24283,26476,26476
1,64,1,37,0,27970,0,0,0,28845,27970,27970
1,64,1,38,0,26344,0,0,0,25847,26344,26344
1,64,1,39,0,19230,0,0,0,17030,19230,19230
1,64,1,40,0,25925,0,0,0,26646,25925,25925
1,64,1,41,0,25399,0,0,0,23110,25399,25399
1,64,1,42,0,26685,0,0,0,24953,26685,26685
1,64,1,43,0,28764,0,0,0,30536,28764,28764
1,64,1,44,0,29365,0,0,0,28133,29365,29365
1,64,1,45,0,25880,0,0,0,24527,25880,25880
1,64,1,46,0,26223,0,0,0,25788,26223,26223
1,64,1,47,0,21562,0,0,0,20737,21562,21562
1,64,1,48,0,26118,0,0,0,24903,26118,26118
1,64,1,49,0,28695,0,0,0,30396,28695,28695
1,64,1,50,0,21863,0,0,0,21079,21863,21863
1,64,1,51,0,24212,0,0,0,23225,24212,24212
1,64,1,52,0,18082,0,0,0,16773,18082,18082
1,64,1,53,0,25870,0,0,0,26056,25870,25870
1,64,1,54,0,28839,0,0,0,28769,28839,28839
1,64,1,55,0,25881,0,0,0,24935,25881,25881
1,64,1,56,0,29065,0,0,0,29459,29065,29065
1,64,1,57,0,26865,0,0,0,28390,26865,26865
1,64,1,58,0,26392,0,0,0,27986,26392,26392
1,64,1,59,0,13742,0,0,0,14996,13742,13742
1,64,1,60,0,27644,0,0,0,25561,27644,27644
1,64,1,61,0,24252,0,0,0,25274,24252,24252
1,64,1,62,0,22094,0,0,0,23819,22094,22094
1,64,1,63,0,19153,0,0,0,20579,19153,19153
2,64,1,0,568432,0,0,0,27330,0,0,0
2,64,1,1,0,8789,0,108339,0,20729,8789,8789
2,64,1,2,0,8368,0,110549,0,21824,8368,8368
2,64,1,3,0,8655,0,108776,0,21482,8655,8655
2,64,1,4,0,8324,0,111379,0,21533,8324,8324
2,64,1,5,0,8692,0,107972,0,21088,8692,8692
2,64,1,6,0,8764,0,104911,0,20643,8764,8764
2,64,1,7,0,8930,0,98899,0,21045,8930,8930
2,64,1,8,0,9517,0,105099,0,25013,9517,9517
2,64,1,9,0,9262,0,119970,0,23793,9262,9262
2,64,1,10,0,9181,0,127357,0,25885,9181,9181
2,64,1,11,0,8904,0,127795,0,26296,8904,8904
2,64,1,12,0,9204,0,131928,0,24934,9204,9204
2,64,1,13,0,9348,0,115722,0,23656,9348,9348
2,64,1,14,0,9265,0,122509,0,25780,9265,9265
2,64,1,15,0,9332,0,130686,0,23686,9332,9332
2,64,1,16,0,8844,0,130059,0,28488,8844,8844
2,64,1,17,0,11146,0,27325,0,14458,11146,11146
2,64,1,18,0,8772,0,123088,0,24617,8772,8772
2,64,1,19,0,9287,0,124705,0,24349,9287,9287
2,64,1,20,0,8712,0,124133,0,24802,8712,8712
2,64,1,21,0,9491,0,98457,0,23355,9491,9491
2,64,1,22,0,9111,0,125133,0,24504,9111,9111
2,64,1,23,0,6581,0,127183,0,22132,6581,6581
2,64,1,24,0,11195,0,26249,0,14864,11195,11195
2,64,1,25,0,8811,0,123978,0,25347,8811,8811
2,64,1,26,0,8751,0,124276,0,26682,8751,8751
