Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,0,118987,0,0,0,130017,0,0,0
1,8,1,1,0,27992,0,0,0,3993,27992,27992
1,8,1,2,123147,0,0,0,125286,0,0,0
1,8,1,3,0,25544,0,0,0,3449,25544,25544
1,8,1,4,115816,0,0,0,132225,0,0,0
1,8,1,5,0,25541,0,0,0,3235,25541,25541
1,8,1,6,123715,0,0,0,120142,0,0,0
1,8,1,7,0,25747,0,0,0,4322,25747,25747
2,8,1,0,118681,0,0,0,115598,0,0,0
2,8,1,1,0,26567,0,0,0,3460,26567,26567
2,8,1,2,116429,0,0,0,109348,0,0,0
2,8,1,3,0,25215,0,0,0,2983,25215,25215
2,8,1,4,116495,0,0,0,121382,0,0,0
2,8,1,5,0,24538,0,0,0,2694,24538,24538
2,8,1,6,118367,0,0,0,119774,0,0,0
2,8,1,7,0,25634,0,0,0,3121,25634,25634
3,8,1,0,122819,0,0,0,125686,0,0,0
3,8,1,1,0,26644,0,0,0,3276,26644,26644
3,8,1,2,124499,0,0,0,122476,0,0,0
3,8,1,3,0,26431,0,0,0,2867,26431,26431
3,8,1,4,117383,0,0,0,130375,0,0,0
3,8,1,5,0,26446,0,0,0,2835,26446,26446
3,8,1,6,123754,0,0,0,122930,0,0,0
3,8,1,7,0,26801,0,0,0,2885,26801,26801
4,8,1,0,122693,0,0,0,123934,0,0,0
4,8,1,1,0,27014,0,0,0,3414,27014,27014
4,8,1,2,124936,0,0,0,119683,0,0,0
4,8,1,3,0,26329,0,0,0,3030,26329,26329
4,8,1,4,117880,0,0,0,127178,0,0,0
4,8,1,5,0,26450,0,0,0,3119,26450,26450
4,8,1,6,124773,0,0,0,120331,0,0,0
4,8,1,7,0,26850,0,0,0,3236,26850,26850
5,8,1,0,123535,0,0,0,122923,0,0,0
5,8,1,1,0,26952,0,0,0,3323,26952,26952
5,8,1,2,124445,0,0,0,121118,0,0,0
5,8,1,3,0,26241,0,0,0,3005,26241,26241
5,8,1,4,117790,0,0,0,127027,0,0,0
5,8,1,5,0,26384,0,0,0,2963,26384,26384
5,8,1,6,125431,0,0,0,118830,0,0,0
5,8,1,7,0,26791,0,0,0,3218,26791,26791
6,8,1,0,129955,0,0,0,101520,0,0,0
6,8,1,1,0,26488,0,0,0,3167,26488,26488
6,8,1,2,119612,0,0,0,106500,0,0,0
6,8,1,3,0,25845,0,0,0,2824,25845,25845
6,8,1,4,115745,0,0,0,114137,0,0,0
6,8,1,5,0,25767,0,0,0,2833,25767,25767
6,8,1,6,127547,0,0,0,97332,0,0,0
6,8,1,7,0,26230,0,0,0,3125,26230,26230
7,8,1,0,124655,0,0,0,107395,0,0,0
7,8,1,1,0,25338,0,0,0,3059,25338,25338
7,8,1,2,111106,0,0,0,117911,0,0,0
7,8,1,3,0,24683,0,0,0,2861,24683,24683
7,8,1,4,106784,0,0,0,130331,0,0,0
7,8,1,5,0,24492,0,0,0,2909,24492,24492
7,8,1,6,119454,0,0,0,111107,0,0,0
7,8,1,7,0,24767,0,0,0,2894,24767,24767
8,8,1,0,120828,0,0,0,131870,0,0,0
8,8,1,1,0,27103,0,0,0,2959,27103,27103
8,8,1,2,125895,0,0,0,119082,0,0,0
8,8,1,3,0,26769,0,0,0,2837,26769,26769
8,8,1,4,120472,0,0,0,130631,0,0,0
8,8,1,5,0,26160,0,0,0,2535,26160,26160
8,8,1,6,121984,0,0,0,128193,0,0,0
8,8,1,7,0,27050,0,0,0,2969,27050,27050
9,8,1,0,117210,0,0,0,126002,0,0,0
9,8,1,1,0,26631,0,0,0,2960,26631,26631
9,8,1,2,123748,0,0,0,110792,0,0,0
9,8,1,3,0,26476,0,0,0,2887,26476,26476
9,8,1,4,118808,0,0,0,122422,0,0,0
9,8,1,5,0,25729,0,0,0,2581,25729,25729
9,8,1,6,118671,0,0,0,124136,0,0,0
9,8,1,7,0,25902,0,0,0,2728,25902,25902
10,8,1,0,115104,0,0,0,125366,0,0,0
10,8,1,1,0,26199,0,0,0,2783,26199,26199
10,8,1,2,120951,0,0,0,111215,0,0,0
10,8,1,3,0,26130,0,0,0,2997,26130,26130
10,8,1,4,116270,0,0,0,122501,0,0,0
10,8,1,5,0,25247,0,0,0,2520,25247,25247
10,8,1,6,116188,0,0,0,123893,0,0,0
10,8,1,7,0,25201,0,0,0,2521,25201,25201
