Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,1.029838,0,54000,54000,0,0,0,0,54000,1000
1,64,1,1.011857,1,5000,5000,0,0,0,0,5000,1000
1,64,1,1.093256,2,1000,1000,0,0,0,0,1000,1000
1,64,1,1.103133,3,1000,1000,0,0,0,0,1000,1000
1,64,1,1.051877,4,1000,1000,0,0,0,0,1000,1000
1,64,1,1.081463,5,8000,8000,0,0,0,0,8000,1000
1,64,1,1.094159,6,2000,2000,0,0,0,0,2000,1000
1,64,1,1.071781,7,1000,1000,0,0,0,0,1000,1000
1,64,1,1.103275,8,1000,1000,0,0,0,0,1000,1000
1,64,1,1.014179,9,1000,1000,0,0,0,0,1000,1000
1,64,1,1.032318,10,4000,4000,0,0,0,0,4000,1000
1,64,1,1.065636,11,1000,1000,0,0,0,0,1000,1000
1,64,1,1.052126,12,1000,1000,0,0,0,0,1000,1000
1,64,1,1.077150,13,2000,2000,0,0,0,0,2000,1000
1,64,1,1.085624,14,1000,1000,0,0,0,0,1000,1000
1,64,1,1.103267,15,1000,1000,0,0,0,0,1000,1000
1,64,1,1.020932,16,1000,1000,0,0,0,0,1000,1000
1,64,1,1.086675,17,1000,1000,0,0,0,0,1000,1000
1,64,1,1.008220,18,27000,27000,0,0,0,0,27000,1000
1,64,1,1.093211,19,1000,1000,0,0,0,0,1000,1000
1,64,1,1.011560,20,11000,11000,0,0,0,0,11000,1000
1,64,1,1.034819,21,1000,1000,0,0,0,0,1000,1000
1,64,1,1.083647,22,1000,1000,0,0,0,0,1000,1000
1,64,1,1.093348,23,1000,1000,0,0,0,0,1000,1000
1,64,1,1.001813,24,19000,19000,0,0,0,0,19000,1000
1,64,1,1.000270,25,47000,47000,0,0,0,0,47000,1000
1,64,1,1.044500,26,1000,1000,0,0,0,0,1000,1000
1,64,1,1.083857,27,1000,1000,0,0,0,0,1000,1000
1,64,1,1.018903,28,1000,1000,0,0,0,0,1000,1000
1,64,1,1.067952,29,1000,1000,0,0,0,0,1000,1000
1,64,1,1.005303,30,19000,19000,0,0,0,0,19000,1000
1,64,1,1.041929,31,1000,1000,0,0,0,0,1000,1000
1,64,1,1.040438,32,1000,1000,0,0,0,0,1000,1000
1,64,1,1.011310,33,1000,1000,0,0,0,0,1000,1000
1,64,1,1.014064,34,1000,1000,0,0,0,0,1000,1000
1,64,1,1.093115,35,1000,1000,0,0,0,0,1000,1000
1,64,1,1.001681,36,42000,42000,0,0,0,0,42000,1000
1,64,1,1.101667,37,1000,1000,0,0,0,0,1000,1000
1,64,1,1.057932,38,1000,1000,0,0,0,0,1000,1000
1,64,1,1.068497,39,1000,1000,0,0,0,0,1000,1000
1,64,1,1.068698,40,1000,1000,0,0,0,0,1000,1000
1,64,1,1.014198,41,1000,1000,0,0,0,0,1000,1000
1,64,1,1.039431,42,1000,1000,0,0,0,0,1000,1000
1,64,1,1.070081,43,1000,1000,0,0,0,0,1000,1000
1,64,1,1.056563,44,1000,1000,0,0,0,0,1000,1000
1,64,1,1.100531,45,1000,1000,0,0,0,0,1000,1000
1,64,1,1.059388,46,1000,1000,0,0,0,0,1000,1000
1,64,1,1.091611,47,2000,2000,0,0,0,0,2000,1000
1,64,1,1.031245,48,33000,33000,0,0,0,0,33000,1000
1,64,1,1.101919,49,1000,1000,0,0,0,0,1000,1000
1,64,1,1.095330,50,1000,1000,0,0,0,0,1000,1000
