Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,64,1,1.003145,0,40000,0,0,0,0,0,0,0
1,64,1,1.031532,1,4000,0,0,0,0,0,0,0
1,64,1,1.011670,2,29000,0,0,0,0,0,0,0
1,64,1,1.034935,3,6000,0,0,0,0,0,0,0
1,64,1,1.034251,4,2000,0,0,0,0,0,0,0
1,64,1,1.034309,5,2000,0,0,0,0,0,0,0
1,64,1,1.034822,6,5000,0,0,0,0,0,0,0
1,64,1,1.015375,7,2000,0,0,0,0,0,0,0
1,64,1,1.011072,8,22000,0,0,0,0,0,0,0
1,64,1,1.034980,9,5000,0,0,0,0,0,0,0
1,64,1,1.030232,10,7000,0,0,0,0,0,0,0
1,64,1,1.013055,11,7000,0,0,0,0,0,0,0
1,64,1,1.032938,12,3000,0,0,0,0,0,0,0
1,64,1,1.013713,13,2000,0,0,0,0,0,0,0
1,64,1,1.032596,14,5000,0,0,0,0,0,0,0
1,64,1,1.015916,15,2000,0,0,0,0,0,0,0
1,64,1,1.009410,16,6000,0,0,0,0,0,0,0
1,64,1,1.006949,17,38000,0,0,0,0,0,0,0
1,64,1,1.010642,18,15000,0,0,0,0,0,0,0
1,64,1,1.007815,19,8000,0,0,0,0,0,0,0
1,64,1,1.034454,20,3000,0,0,0,0,0,0,0
1,64,1,1.034555,21,2000,0,0,0,0,0,0,0
1,64,1,1.030979,22,4000,0,0,0,0,0,0,0
1,64,1,1.007010,23,2000,0,0,0,0,0,0,0
1,64,1,1.009050,24,25000,0,0,0,0,0,0,0
1,64,1,1.021902,25,10000,0,0,0,0,0,0,0
1,64,1,1.011522,26,46000,0,0,0,0,0,0,0
1,64,1,1.026035,27,12000,0,0,0,0,0,0,0
1,64,1,1.034360,28,4000,0,0,0,0,0,0,0
1,64,1,1.014712,29,16000,0,0,0,0,0,0,0
1,64,1,1.002389,30,47000,0,0,0,0,0,0,0
1,64,1,1.021209,31,2000,0,0,0,0,0,0,0
1,64,1,1.031876,32,0,7000,0,0,0,0,7000,7000
1,64,1,1.037440,33,0,25000,0,0,0,0,25000,25000
1,64,1,1.040710,34,0,4000,0,0,0,0,4000,4000
1,64,1,1.040398,35,0,4000,0,0,0,0,4000,4000
1,64,1,1.039258,36,0,6000,0,0,0,0,6000,6000
1,64,1,1.037099,37,0,16000,0,0,0,0,16000,16000
1,64,1,1.039863,38,0,5000,0,0,0,0,5000,5000
1,64,1,1.040927,39,0,5000,0,0,0,0,5000,5000
1,64,1,1.041513,40,0,5000,0,0,0,0,5000,5000
1,64,1,1.024602,41,0,5000,0,0,0,0,5000,5000
1,64,1,1.021894,42,0,6000,0,0,0,0,6000,6000
1,64,1,1.035396,43,0,20000,0,0,0,0,20000,20000
1,64,1,1.037041,44,0,18000,0,0,0,0,18000,18000
1,64,1,1.002650,45,0,21000,0,0,0,0,21000,21000
1,64,1,1.042189,46,0,7000,0,0,0,0,7000,7000
1,64,1,1.031115,47,0,7000,0,0,0,0,7000,7000
1,64,1,1.009101,48,0,6000,0,0,0,0,6000,6000
1,64,1,1.037775,49,0,8000,0,0,0,0,8000,8000
1,64,1,1.033823,50,0,7000,0,0,0,0,7000,7000
1,64,1,1.037150,51,0,10000,0,0,0,0,10000,10000
1,64,1,1.041969,52,0,5000,0,0,0,0,5000,5000
1,64,1,1.042153,53,0,7000,0,0,0,0,7000,7000
1,64,1,1.043206,54,0,5000,0,0,0,0,5000,5000
1,64,1,1.037118,55,0,10000,0,0,0,0,10000,10000
1,64,1,1.012592,56,0,18000,0,0,0,0,18000,18000
1,64,1,1.035753,57,0,19000,0,0,0,0,19000,19000
1,64,1,1.002280,58,0,23000,0,0,0,0,23000,23000
1,64,1,1.004989,59,0,21000,0,0,0,0,21000,21000
1,64,1,1.043319,60,0,4000,0,0,0,0,4000,4000
1,64,1,1.005945,61,0,12000,0,0,0,0,12000,12000
1,64,1,1.004718,62,0,19000,0,0,0,0,19000,19000
1,64,1,1.025403,63,0,4000,0,0,0,0,4000,4000
2,64,1,1.002033,0,42000,0,0,0,0,0,0,0
2,64,1,1.032928,1,4000,0,0,0,0,0,0,0
2,64,1,1.006292,2,31000,0,0,0,0,0,0,0
2,64,1,1.024957,3,3000,0,0,0,0,0,0,0
2,64,1,1.001209,4,2000,0,0,0,0,0,0,0
2,64,1,1.025059,5,2000,0,0,0,0,0,0,0
2,64,1,1.026273,6,4000,0,0,0,0,0,0,0
2,64,1,1.023952,7,2000,0,0,0,0,0,0,0
2,64,1,1.013741,8,24000,0,0,0,0,0,0,0
2,64,1,1.029616,9,3000,0,0,0,0,0,0,0
2,64,1,1.018147,10,6000,0,0,0,0,0,0,0
2,64,1,1.028834,11,7000,0,0,0,0,0,0,0
2,64,1,1.029579,12,2000,0,0,0,0,0,0,0
2,64,1,1.032567,13,3000,0,0,0,0,0,0,0
2,64,1,1.001841,14,4000,0,0,0,0,0,0,0
2,64,1,1.032516,15,3000,0,0,0,0,0,0,0
2,64,1,1.031246,16,7000,0,0,0,0,0,0,0
2,64,1,1.007222,17,43000,0,0,0,0,0,0,0
2,64,1,1.030517,18,18000,0,0,0,0,0,0,0
2,64,1,1.024742,19,8000,0,0,0,0,0,0,0
2,64,1,1.030995,20,2000,0,0,0,0,0,0,0
2,64,1,1.031291,21,2000,0,0,0,0,0,0,0
2,64,1,1.016085,22,3000,0,0,0,0,0,0,0
2,64,1,1.032996,23,3000,0,0,0,0,0,0,0
2,64,1,1.002697,24,26000,0,0,0,0,0,0,0
2,64,1,1.019152,25,10000,0,0,0,0,0,0,0
2,64,1,1.017736,26,50000,0,0,0,0,0,0,0
2,64,1,1.026950,27,11000,0,0,0,0,0,0,0
2,64,1,1.033331,28,3000,0,0,0,0,0,0,0
2,64,1,1.000998,29,18000,0,0,0,0,0,0,0
2,64,1,1.007287,30,51000,0,0,0,0,0,0,0
2,64,1,1.008122,31,2000,0,0,0,0,0,0,0
2,64,1,1.034132,32,0,6000,0,0,0,0,6000,6000
2,64,1,1.013207,33,0,25000,0,0,0,0,25000,25000
2,64,1,1.000713,34,0,3000,0,0,0,0,3000,3000
2,64,1,1.016191,35,0,3000,0,0,0,0,3000,3000
2,64,1,1.035084,36,0,5000,0,0,0,0,5000,5000
2,64,1,1.029596,37,0,12000,0,0,0,0,12000,12000
2,64,1,1.034554,38,0,4000,0,0,0,0,4000,4000
2,64,1,1.035167,39,0,3000,0,0,0,0,3000,3000
2,64,1,1.037612,40,0,4000,0,0,0,0,4000,4000
2,64,1,1.032100,41,0,4000,0,0,0,0,4000,4000
2,64,1,1.017909,42,0,3000,0,0,0,0,3000,3000
2,64,1,1.034737,43,0,18000,0,0,0,0,18000,18000
