Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,1,5,5.000000,0,111580651,111580651,0,0,0,0,111580651,1
2,1,5,5.000000,0,111593990,111593990,0,0,0,0,111593990,1
3,1,5,5.000000,0,111523250,111523250,0,0,0,0,111523250,1
4,1,5,5.000000,0,111579322,111579322,0,0,0,0,111579322,1
5,1,5,5.000000,0,111524375,111524375,0,0,0,0,111524375,1
6,1,5,5.000000,0,111564206,111564206,0,0,0,0,111564206,1
7,1,5,5.000000,0,111532211,111532211,0,0,0,0,111532211,1
8,1,5,5.000000,0,111580793,111580793,0,0,0,0,111580793,1
9,1,5,5.000000,0,111639276,111639276,0,0,0,0,111639276,1
10,1,5,5.000000,0,111604028,111604028,0,0,0,0,111604028,1
