Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.000001,0,1256219,0,0,0,0,0,0,0
1,8,1,1.000000,1,0,150136,0,0,0,0,150136,150136
1,8,1,1.000002,2,0,47864,0,0,0,0,47864,47864
1,8,1,1.000010,3,0,80712,0,0,0,0,80712,80712
1,8,1,1.000002,4,0,2979,0,0,0,0,2979,2979
1,8,1,1.000001,5,0,8773,0,0,0,0,8773,8773
1,8,1,1.000004,6,0,2325,0,0,0,0,2325,2325
1,8,1,1.000003,7,0,148109,0,1,0,0,148109,148109
2,8,1,1.000000,0,2153891,0,0,0,0,0,0,0
2,8,1,1.000009,1,0,21170,0,0,0,0,21170,21170
2,8,1,1.000011,2,0,12326,0,0,0,0,12326,12326
2,8,1,1.000013,3,0,5529,0,0,0,0,5529,5529
2,8,1,1.000004,4,0,168628,0,0,0,0,168628,168628
2,8,1,1.000001,5,0,211617,0,0,0,0,211617,211617
2,8,1,1.000006,6,0,103422,0,0,0,0,103422,103422
2,8,1,1.000006,7,0,138202,0,0,0,0,138202,138202
3,8,1,1.000001,0,1935474,0,0,0,0,0,0,0
3,8,1,1.000011,1,0,37744,0,0,0,0,37744,37744
3,8,1,1.000012,2,0,25017,0,0,0,0,25017,25017
3,8,1,1.000010,3,0,15930,0,0,0,0,15930,15930
3,8,1,1.000003,4,0,96546,0,0,0,0,96546,96546
3,8,1,1.000001,5,0,112250,0,0,0,0,112250,112250
3,8,1,1.000000,6,0,80295,0,0,0,0,80295,80295
3,8,1,1.000005,7,0,112888,0,0,0,0,112888,112888
4,8,1,1.000003,0,1982855,0,0,0,0,0,0,0
4,8,1,1.000011,1,0,48891,0,0,0,0,48891,48891
4,8,1,1.000007,2,0,30300,0,0,0,0,30300,30300
4,8,1,1.000014,3,0,28667,0,0,0,0,28667,28667
4,8,1,1.000003,4,0,147427,0,0,0,0,147427,147427
4,8,1,1.000002,5,0,185205,0,0,0,0,185205,185205
4,8,1,1.000004,6,0,95080,0,0,0,0,95080,95080
4,8,1,1.000009,7,0,101075,0,0,0,0,101075,101075
5,8,1,1.000001,0,1810642,0,0,0,0,0,0,0
5,8,1,1.000014,1,0,11877,0,0,0,0,11877,11877
5,8,1,1.000012,2,0,5545,0,0,0,0,5545,5545
5,8,1,1.000018,3,0,518,0,0,0,0,518,518
5,8,1,1.000002,4,0,303955,0,0,0,0,303955,303955
5,8,1,1.000000,5,0,410600,0,0,0,0,410600,410600
5,8,1,1.000000,6,0,224362,0,0,0,0,224362,224362
5,8,1,1.000006,7,0,20385,0,0,0,0,20385,20385
6,8,1,1.000002,0,1797774,0,0,0,0,0,0,0
6,8,1,1.000010,1,0,11312,0,0,0,0,11312,11312
6,8,1,1.000014,2,0,6016,0,0,0,0,6016,6016
6,8,1,1.000013,3,0,414,0,0,0,0,414,414
6,8,1,1.000000,4,0,304497,0,0,0,0,304497,304497
6,8,1,1.000001,5,0,416686,0,0,0,0,416686,416686
6,8,1,1.000002,6,0,212413,0,0,0,0,212413,212413
6,8,1,1.000014,7,0,6166,0,0,0,0,6166,6166
7,8,1,1.000001,0,1799746,0,0,0,0,0,0,0
7,8,1,1.000009,1,0,11644,0,0,0,0,11644,11644
7,8,1,1.000009,2,0,6381,0,0,0,0,6381,6381
7,8,1,1.000014,3,0,398,0,0,0,0,398,398
7,8,1,1.000001,4,0,315216,0,0,0,0,315216,315216
7,8,1,1.000000,5,0,419408,0,0,0,0,419408,419408
7,8,1,1.000007,6,0,207119,0,0,0,0,207119,207119
7,8,1,1.000007,7,0,3091,0,0,0,0,3091,3091
8,8,1,1.000002,0,1805893,0,0,0,0,0,0,0
8,8,1,1.000011,1,0,12160,0,0,0,0,12160,12160
8,8,1,1.000012,2,0,5363,0,0,0,0,5363,5363
8,8,1,1.000016,3,0,461,0,0,0,0,461,461
8,8,1,1.000000,4,0,313155,0,0,0,0,313155,313155
8,8,1,1.000003,5,0,406467,0,0,0,0,406467,406467
8,8,1,1.000000,6,0,216244,0,0,0,0,216244,216244
8,8,1,1.000013,7,0,15592,0,0,0,0,15592,15592
9,8,1,1.000001,0,1490584,0,0,0,0,0,0,0
9,8,1,1.000003,1,0,76303,0,0,0,0,76303,76303
9,8,1,1.000006,2,0,9452,0,0,0,0,9452,9452
9,8,1,1.000019,3,0,1134,0,0,0,0,1134,1134
9,8,1,1.000004,4,0,228079,0,0,0,0,228079,228079
9,8,1,1.000001,5,0,286501,0,0,0,0,286501,286501
9,8,1,1.000006,6,0,94069,0,0,0,0,94069,94069
9,8,1,1.000011,7,0,4991,0,0,0,0,4991,4991
10,8,1,1.000006,0,1544424,0,0,0,0,0,0,0
10,8,1,1.000013,1,0,59880,0,0,0,0,59880,59880
10,8,1,1.000013,2,0,11367,0,0,0,0,11367,11367
10,8,1,1.000019,3,0,1367,0,0,0,0,1367,1367
10,8,1,1.000002,4,0,229184,0,0,0,0,229184,229184
10,8,1,1.000003,5,0,249475,0,0,0,0,249475,249475
10,8,1,1.000003,6,0,125920,0,0,0,0,125920,125920
10,8,1,1.000019,7,0,6882,0,0,0,0,6882,6882
