Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,10,1,1.007412,0,100000,0,0,0,144785,0,0,0
1,10,1,1.009703,1,0,16000,0,0,0,5741,16000,16000
1,10,1,1.007053,2,79000,0,0,0,142968,0,0,0
1,10,1,1.010417,3,0,15000,0,0,0,4257,15000,15000
1,10,1,1.007015,4,76000,0,0,0,142785,0,0,0
1,10,1,1.010425,5,0,15000,0,0,0,4638,15000,15000
1,10,1,1.005915,6,95000,0,0,0,135570,0,0,0
1,10,1,1.008845,7,0,16000,0,0,0,5956,16000,16000
1,10,1,1.005036,8,114000,0,0,0,124195,0,0,0
1,10,1,1.002204,9,0,15000,0,0,0,5952,15000,15000
2,10,1,1.004213,0,80000,0,0,0,136139,0,0,0
2,10,1,1.008264,1,0,15000,0,0,0,4945,15000,15000
2,10,1,1.005798,2,89000,0,0,0,127058,0,0,0
2,10,1,1.010173,3,0,15000,0,0,0,4339,15000,15000
2,10,1,1.006126,4,74000,0,0,0,135324,0,0,0
2,10,1,1.009651,5,0,15000,0,0,0,5393,15000,15000
2,10,1,1.005785,6,86000,0,0,0,127327,0,0,0
2,10,1,1.010141,7,0,15000,0,0,0,5093,15000,15000
2,10,1,1.001537,8,155000,0,0,0,136385,0,0,0
2,10,1,1.009587,9,0,15000,0,0,0,4624,15000,15000
3,10,1,1.004036,0,110000,0,0,0,151750,0,0,0
3,10,1,1.009098,1,0,15000,0,0,0,4628,15000,15000
3,10,1,1.004078,2,83000,0,0,0,125991,0,0,0
3,10,1,1.006252,3,0,14000,0,0,0,4441,14000,14000
3,10,1,1.004661,4,69000,0,0,0,139277,0,0,0
3,10,1,1.009124,5,0,15000,0,0,0,5715,15000,15000
3,10,1,1.004703,6,90000,0,0,0,120145,0,0,0
3,10,1,1.008938,7,0,15000,0,0,0,5948,15000,15000
3,10,1,1.000999,8,84000,0,0,0,119806,0,0,0
3,10,1,1.008994,9,0,15000,0,0,0,5367,15000,15000
4,10,1,1.004245,0,114000,0,0,0,145671,0,0,0
4,10,1,1.008051,1,0,17000,0,0,0,6121,17000,17000
4,10,1,1.003043,2,114000,0,0,0,144197,0,0,0
4,10,1,1.007836,3,0,16000,0,0,0,4475,16000,16000
4,10,1,1.005412,4,65000,0,0,0,145214,0,0,0
4,10,1,1.008377,5,0,17000,0,0,0,5722,17000,17000
4,10,1,1.005683,6,102000,0,0,0,124578,0,0,0
4,10,1,1.008372,7,0,17000,0,0,0,5561,17000,17000
4,10,1,1.003983,8,107000,0,0,0,115885,0,0,0
4,10,1,1.008021,9,0,17000,0,0,0,5567,17000,17000
5,10,1,1.001285,0,70000,0,0,0,138950,0,0,0
5,10,1,1.002659,1,0,14000,0,0,0,4816,14000,14000
5,10,1,1.001098,2,94000,0,0,0,121231,0,0,0
5,10,1,1.003526,3,0,15000,0,0,0,4087,15000,15000
5,10,1,1.003450,4,72000,0,0,0,141199,0,0,0
5,10,1,1.003437,5,0,14000,0,0,0,5217,14000,14000
5,10,1,1.000906,6,108000,0,0,0,127821,0,0,0
5,10,1,1.002164,7,0,14000,0,0,0,5491,14000,14000
