Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,10,1,1.000013,0,264178,264178,0,0,0,0,264178,1
1,10,1,1.000000,1,403,403,0,0,0,0,403,1
1,10,1,1.000011,2,4407,4407,0,0,0,0,4407,1
1,10,1,1.000019,3,1209,1209,0,0,0,0,1209,1
1,10,1,1.000002,4,1689,1689,0,0,0,0,1689,1
1,10,1,1.000011,5,7817,7817,0,0,0,0,7817,1
1,10,1,1.000021,6,406,406,0,0,0,0,406,1
1,10,1,1.000005,7,270690,270690,0,0,0,0,270690,1
1,10,1,1.000004,8,46815,46815,0,0,0,0,46815,1
1,10,1,1.000010,9,2275,2275,0,0,0,0,2275,1
2,10,1,1.000018,0,33765,33765,0,0,0,0,33765,1
2,10,1,1.000026,1,4091,4091,0,0,0,0,4091,1
2,10,1,1.000023,2,6355,6355,0,0,0,0,6355,1
2,10,1,1.000016,3,33759,33759,0,0,0,0,33759,1
2,10,1,1.000016,4,66706,66706,0,0,0,0,66706,1
2,10,1,1.000021,5,22311,22311,0,0,0,0,22311,1
2,10,1,1.000007,6,92734,92734,0,0,0,0,92734,1
2,10,1,1.000027,7,14887,14887,0,0,0,0,14887,1
2,10,1,1.000029,8,1569,1569,0,0,0,0,1569,1
2,10,1,1.000005,9,77639,77639,0,0,0,0,77639,1
