Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.000051,0,46018,46018,0,0,30362,9484,46018,1
1,8,1,1.000080,1,43428,43428,0,0,33140,8991,43428,1
1,8,1,1.000074,2,43205,43205,0,0,34913,9413,43205,1
1,8,1,1.000077,3,41278,41278,0,0,30810,9800,41278,1
1,8,1,1.000094,4,42938,42938,0,0,35312,9721,42938,1
1,8,1,1.000085,5,41969,41969,0,0,29121,9972,41969,1
1,8,1,1.000133,6,46727,46727,0,0,33433,10432,46727,1
1,8,1,1.000091,7,46560,46560,0,0,36842,8848,46560,1
2,8,1,1.000008,0,39169,39169,0,0,31194,8959,39169,1
2,8,1,1.000010,1,39786,39786,0,0,34252,6301,39786,1
2,8,1,1.000008,2,41124,41124,0,0,27866,9494,41124,1
2,8,1,1.000012,3,40495,40495,0,0,31115,7349,40495,1
2,8,1,1.000009,4,39049,39049,0,0,30351,9730,39049,1
2,8,1,1.000014,5,39531,39531,0,0,32992,7713,39531,1
2,8,1,1.000013,6,38761,38761,0,0,30046,9846,38761,1
2,8,1,1.000009,7,39458,39458,0,0,32318,9280,39458,1
Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.000010,0,51872,51872,0,0,43892,15077,51872,1
1,8,1,1.000000,1,52427,52427,0,0,40733,12680,52427,1
1,8,1,1.000003,2,50024,50024,0,0,44864,13959,50024,1
1,8,1,1.000011,3,50589,50589,0,0,43458,15864,50589,1
1,8,1,1.000012,4,49732,49732,0,0,47081,14064,49732,1
1,8,1,1.000012,5,50994,50994,0,0,44152,15691,50994,1
1,8,1,1.000014,6,57586,57586,0,0,52764,22968,57586,1
1,8,1,1.000015,7,57254,57254,0,0,54032,15748,57254,1
2,8,1,1.000013,0,48578,48578,0,0,52640,17392,48578,1
2,8,1,1.000007,1,48794,48794,0,0,51186,14526,48794,1
2,8,1,1.000009,2,47358,47358,0,0,48990,13745,47358,1
2,8,1,1.000015,3,48076,48076,0,0,47393,18854,48076,1
2,8,1,1.000006,4,46415,46415,0,0,51677,14753,46415,1
2,8,1,1.000003,5,47127,47127,0,0,47599,16871,47127,1
2,8,1,1.000000,6,47476,47476,0,0,45925,18023,47476,1
2,8,1,1.000007,7,46871,46871,0,0,49547,14086,46871,1
Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.009766,0,38000,38000,0,0,28527,20497,38000,1000
1,8,1,1.009232,1,38000,38000,0,0,17199,20363,38000,1000
1,8,1,1.001095,2,36000,36000,0,0,26025,22047,36000,1000
1,8,1,1.009523,3,37000,37000,0,0,19764,19945,37000,1000
1,8,1,1.004349,4,35000,35000,0,0,18355,17317,35000,1000
1,8,1,1.005617,5,36000,36000,0,0,19388,17755,36000,1000
1,8,1,1.009726,6,38000,38000,0,0,32131,15962,38000,1000
1,8,1,1.009316,7,39000,39000,0,0,28451,16497,39000,1000
2,8,1,1.002925,0,30000,30000,0,0,25944,16757,30000,1000
2,8,1,1.004610,1,33000,33000,0,0,39116,16975,33000,1000
2,8,1,1.009799,2,34000,34000,0,0,33666,18847,34000,1000
2,8,1,1.006098,3,33000,33000,0,0,37172,16193,33000,1000
2,8,1,1.009749,4,31000,31000,0,0,21083,15314,31000,1000
2,8,1,1.005162,5,32000,32000,0,0,27069,15747,32000,1000
2,8,1,1.007691,6,32000,32000,0,0,32283,15551,32000,1000
2,8,1,1.008940,7,31000,31000,0,0,20884,14023,31000,1000
Repetition,NumThreads,TimeInterval,ActualBenchTime,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,8,1,1.017771,0,36000,36000,0,0,21651,18624,36000,1000
1,8,1,1.018488,1,37000,37000,0,0,16549,18394,37000,1000
1,8,1,1.018795,2,36000,36000,0,0,31151,19236,36000,1000
1,8,1,1.018829,3,36000,36000,0,0,18775,18413,36000,1000
1,8,1,1.012658,4,35000,35000,0,0,15389,15982,35000,1000
1,8,1,1.015951,5,36000,36000,0,0,30144,17809,36000,1000
1,8,1,1.011644,6,37000,37000,0,0,20283,16687,37000,1000
1,8,1,1.016955,7,36000,36000,0,0,29270,15602,36000,1000
2,8,1,1.001241,0,34000,34000,0,0,24965,16899,34000,1000
2,8,1,1.010025,1,34000,34000,0,0,23393,15090,34000,1000
2,8,1,1.002407,2,32000,32000,0,0,18683,14657,32000,1000
2,8,1,1.009480,3,33000,33000,0,0,17690,15058,33000,1000
2,8,1,1.010066,4,34000,34000,0,0,20558,15848,34000,1000
2,8,1,1.003450,5,31000,31000,0,0,16744,14066,31000,1000
2,8,1,1.006055,6,34000,34000,0,0,23259,14625,34000,1000
2,8,1,1.009527,7,34000,34000,0,0,27745,14350,34000,1000
