Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,4,2,0,2795830,2795830,0,0,0,2795830,0,10
1,4,2,1,3011000,3011000,0,0,0,3011000,0,10
1,4,2,2,3047600,3047600,0,0,0,3047600,0,10
1,4,2,3,2423550,2423550,0,0,0,2423550,0,10
2,4,2,0,2923410,2923410,0,0,0,2923410,0,10
2,4,2,1,2952350,2952350,0,0,0,2952350,0,10
2,4,2,2,2909500,2909500,0,0,0,2909500,0,10
2,4,2,3,2305170,2305170,0,0,0,2305170,0,10
3,4,2,0,2826960,2826960,0,0,0,2826960,0,10
3,4,2,1,3009020,3009020,0,0,0,3009020,0,10
3,4,2,2,3069250,3069250,0,0,0,3069250,0,10
3,4,2,3,2391350,2391350,0,0,0,2391350,0,10
Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
1,4,2,0,3056440,3056440,0,0,0,3056440,0,10
1,4,2,1,2517430,2517430,0,0,0,2517430,0,10
1,4,2,2,3424300,3424300,0,0,0,3424300,0,10
1,4,2,3,2685690,2685690,0,0,0,2685690,0,10
2,4,2,0,3235540,3235540,0,0,0,3235540,0,10
2,4,2,1,2395130,2395130,0,0,0,2395130,0,10
2,4,2,2,3243400,3243400,0,0,0,3243400,0,10
2,4,2,3,2587240,2587240,0,0,0,2587240,0,10
3,4,2,0,3092810,3092810,0,0,0,3092810,0,10
3,4,2,1,2523200,2523200,0,0,0,2523200,0,10
3,4,2,2,3381450,3381450,0,0,0,3381450,0,10
3,4,2,3,2648450,2648450,0,0,0,2648450,0,10
Repetition,NumThreads,TimeInterval,ThreadID,NrEnqOps,NrDeqOps,NrFailedEnqOps,NrFailedDeqOps,NrFailedEnqCASOps,NrFailedDeqCASOps,NrFreeListInsertions,MaxFreeListSize
